pair_index,frame1,frame2,num_matches,num_inliers,inlier_ratio
70,1305031455.127695.png,1305031455.159720.png,2219,1248,0.562415502478594
71,1305031455.159720.png,1305031455.191655.png,2236,1203,0.5380143112701252
72,1305031455.191655.png,1305031455.227581.png,2302,1386,0.6020851433536055
73,1305031455.227581.png,1305031455.259631.png,2045,969,0.47383863080684596
74,1305031455.259631.png,1305031455.291831.png,2022,1005,0.4970326409495549
75,1305031455.291831.png,1305031455.327766.png,2072,1098,0.5299227799227799
76,1305031455.327766.png,1305031455.359630.png,1827,763,0.41762452107279696
77,1305031455.359630.png,1305031455.391665.png,1905,881,0.4624671916010499
78,1305031455.391665.png,1305031455.427642.png,2102,1013,0.4819219790675547
79,1305031455.427642.png,1305031455.459589.png,2283,1183,0.5181778361804643
80,1305031455.459589.png,1305031455.491637.png,2328,1258,0.5403780068728522
81,1305031455.491637.png,1305031455.527610.png,2158,1049,0.4860982391102873
82,1305031455.527610.png,1305031455.559669.png,2137,1073,0.5021057557323351
83,1305031455.559669.png,1305031455.591645.png,2142,990,0.46218487394957986
84,1305031455.591645.png,1305031455.627617.png,2172,987,0.4544198895027624
85,1305031455.627617.png,1305031455.659615.png,2232,1046,0.46863799283154123
86,1305031455.659615.png,1305031455.691605.png,2217,1099,0.4957149300857014
87,1305031455.691605.png,1305031455.727628.png,2370,1173,0.49493670886075947
88,1305031455.727628.png,1305031455.759683.png,2454,1293,0.5268948655256723
89,1305031455.759683.png,1305031455.791666.png,2263,1133,0.5006628369421122
90,1305031455.791666.png,1305031455.827590.png,2246,1066,0.4746215494211932
91,1305031455.827590.png,1305031455.859526.png,2365,1237,0.5230443974630021
92,1305031455.859526.png,1305031455.891657.png,2429,1270,0.522848909016056
93,1305031455.891657.png,1305031455.927955.png,2465,1431,0.5805273833671399
94,1305031455.927955.png,1305031455.959716.png,2504,1452,0.5798722044728435
95,1305031455.959716.png,1305031455.991694.png,2541,1678,0.6603699330972058
96,1305031455.991694.png,1305031456.027770.png,2088,1087,0.5205938697318008
97,1305031456.027770.png,1305031456.059713.png,2149,1197,0.5570032573289903
98,1305031456.059713.png,1305031456.091707.png,2420,1428,0.5900826446280992
99,1305031456.091707.png,1305031456.127645.png,2653,1585,0.5974368639276291
100,1305031456.127645.png,1305031456.159731.png,2263,1107,0.4891736632788334
101,1305031456.159731.png,1305031456.191658.png,2147,1132,0.5272473218444341
102,1305031456.191658.png,1305031456.227678.png,2069,945,0.45674238762687286
103,1305031456.227678.png,1305031456.259614.png,2193,1237,0.5640674874601003
104,1305031456.259614.png,1305031456.291675.png,2130,1123,0.5272300469483568
105,1305031456.291675.png,1305031456.327718.png,2105,1116,0.5301662707838479
106,1305031456.327718.png,1305031456.359846.png,1987,928,0.467035732259688
107,1305031456.359846.png,1305031456.391619.png,1971,869,0.4408929477422628
108,1305031456.391619.png,1305031456.427662.png,2054,1083,0.5272638753651412
109,1305031456.427662.png,1305031456.459610.png,2295,1207,0.5259259259259259
110,1305031456.459610.png,1305031456.491677.png,2176,1209,0.5556066176470589
111,1305031456.491677.png,1305031456.527641.png,2246,1227,0.5463045414069457
112,1305031456.527641.png,1305031456.559608.png,2246,1127,0.5017809439002672
113,1305031456.559608.png,1305031456.591651.png,2184,1067,0.48855311355311354
114,1305031456.591651.png,1305031456.627612.png,1976,929,0.4701417004048583
115,1305031456.627612.png,1305031456.659665.png,1985,771,0.38841309823677583
116,1305031456.659665.png,1305031456.691612.png,2369,1247,0.5263824398480371
117,1305031456.691612.png,1305031456.727693.png,2162,998,0.4616096207215541
118,1305031456.727693.png,1305031456.759615.png,1908,648,0.33962264150943394
119,1305031456.759615.png,1305031456.791649.png,2153,1056,0.4904784022294473
120,1305031456.791649.png,1305031456.827603.png,2154,901,0.4182915506035283
121,1305031456.827603.png,1305031456.859634.png,2352,1222,0.5195578231292517
122,1305031456.859634.png,1305031456.891672.png,2495,1398,0.5603206412825651
123,1305031456.891672.png,1305031456.927690.png,2580,1404,0.5441860465116279
124,1305031456.927690.png,1305031456.959667.png,2395,1179,0.49227557411273487
125,1305031456.959667.png,1305031456.991709.png,2381,1169,0.4909701805963881
126,1305031456.991709.png,1305031457.027648.png,2673,1520,0.5686494575383464
127,1305031457.027648.png,1305031457.059621.png,2430,1201,0.494238683127572
128,1305031457.059621.png,1305031457.091655.png,2420,1182,0.4884297520661157
129,1305031457.091655.png,1305031457.127632.png,2659,1438,0.5408048138397894
130,1305031457.127632.png,1305031457.159693.png,2779,1611,0.5797049298308744
131,1305031457.159693.png,1305031457.191735.png,2744,1571,0.5725218658892128
132,1305031457.191735.png,1305031457.227543.png,2673,1478,0.5529367751589974
133,1305031457.227543.png,1305031457.259691.png,2494,1157,0.46391339214113875
134,1305031457.259691.png,1305031457.291656.png,2461,1223,0.49695245835026414
135,1305031457.291656.png,1305031457.327548.png,2580,1375,0.5329457364341085
136,1305031457.327548.png,1305031457.359712.png,2590,1433,0.5532818532818533
137,1305031457.359712.png,1305031457.391684.png,2524,1285,0.5091125198098256
138,1305031457.391684.png,1305031457.427641.png,2541,1250,0.4919323101141283
139,1305031457.427641.png,1305031457.459614.png,2719,1530,0.5627068775285031
140,1305031457.459614.png,1305031457.491705.png,2646,1499,0.5665154950869237
141,1305031457.491705.png,1305031457.527638.png,2592,1416,0.5462962962962963
142,1305031457.527638.png,1305031457.559685.png,2591,1432,0.5526823620223852
143,1305031457.559685.png,1305031457.591678.png,2615,1474,0.5636711281070745
144,1305031457.591678.png,1305031457.627526.png,2601,1544,0.5936178392925798
145,1305031457.627526.png,1305031457.659632.png,2481,1253,0.5050382910116888
146,1305031457.659632.png,1305031457.691570.png,2479,1247,0.5030254134731746
147,1305031457.691570.png,1305031457.727669.png,2502,1356,0.5419664268585132
148,1305031457.727669.png,1305031457.759556.png,2380,1173,0.4928571428571429
149,1305031457.759556.png,1305031457.791567.png,2206,1102,0.499546690843155
150,1305031457.791567.png,1305031457.827699.png,2281,1023,0.4484875054800526
151,1305031457.827699.png,1305031457.859623.png,2460,1188,0.48292682926829267
152,1305031457.859623.png,1305031457.891593.png,2378,926,0.3894028595458368
153,1305031457.891593.png,1305031457.927633.png,2385,1091,0.45744234800838574
154,1305031457.927633.png,1305031457.959632.png,2526,1269,0.502375296912114
155,1305031457.959632.png,1305031457.991644.png,2512,1181,0.47014331210191085
156,1305031457.991644.png,1305031458.027845.png,2435,1145,0.4702258726899384
157,1305031458.027845.png,1305031458.059689.png,2535,1167,0.4603550295857988
158,1305031458.059689.png,1305031458.091690.png,3001,1720,0.5731422859046984
159,1305031458.091690.png,1305031458.127605.png,3037,1846,0.6078366809351333
160,1305031458.127605.png,1305031458.159638.png,2866,1533,0.5348918353105373
161,1305031458.159638.png,1305031458.191646.png,2685,1425,0.5307262569832403
162,1305031458.191646.png,1305031458.227611.png,2512,1243,0.4948248407643312
163,1305031458.227611.png,1305031458.259934.png,2280,828,0.3631578947368421
164,1305031458.259934.png,1305031458.291664.png,2369,1030,0.43478260869565216
